trial_id,nct_secondary,condition,results_url_raw,conditions_text_short
PACTR201510001314191,,maternal sepsis,,Pregnancy and Childbirth. Other | The cervix as a natural tamponade in postpartum hemorrhage caused by placenta previa and placenta previa accreta: a prospective study | The cervix as a natural tampon
PACTR202306638003501,,hiv,,Infections and Infestations | Effectiveness of education on linear programmed dietary plan using locally available food on energy intake among HIV- infected children aged 2-5 years in Simiyu region: A
PACTR201105000289276,,hiv,http://journals.plos.org/plosone/article?id=10.1371/journal.pone.0114602,Infections and Infestations. Infections and Infestations | Phase II double-blind  randomised  placebo-controlled study the safety and immunogenicity of H1/IC31 (trademarked)  in HIV-infected adults wi
PACTR202203698019870,,hiv,,Mental and Behavioural Disorders | Ziyembekezo Za Umoyo--Promoting Hope  Forgiveness  Spirituality  Prudence and Self-control to Address Unhealthy Alcohol Use in Zambia: Evaluating and Scaling a Chara
PACTR201802003141213,,hiv,https://doi.org/10.1371/journal.pone.0270175,Infections and Infestations. Mental and Behavioural Disorders. Other | COMPARISON OF ROUTINE VERSUS SELECTIVE SCREENING FOR DEPRESSION STRATEGIES AMONG PLHIV ATTENDING PRINCESS  DIANA MEMORIAL HEALTH 
PACTR202206574814636,,hiv,,Mental and Behavioural Disorders | DoBAt Pilot Trial | Digital delivery of Behavioural Activation Therapy to overcome depression and facilitate socioeconomic transitions of adolescents in South Africa
PACTR202205640398485,,hiv,,Infections and Infestations. Mental and Behavioural Disorders | Couples Health CoOp Plus ( CHC+ ) | Multilevel Strategies & Tailored HIV Prevention and Care for Young Couples Who Use Alcohol and Other
PACTR202105682809727,,snakebite,,Other | Snakebite Burden: Clinical Trial on COVIP-Plus Vaccine for Snakebite Management in Nigeria | COVIP-Plus AntiSnake Venom Vaccine Double-Blind Randomized Control Phase-1 Trial in Nigeria | The W
PACTR202208586601902,,hiv,,Musculoskeletal Diseases. Other | Intervention for improving pharmacist-led patient counselling on Non steroidal anti-inflammatory drugs(NSAIDs) use in a community setting- a randomized control trial 
PACTR201007000192283,NCT00872469,maternal sepsis,http://www.thelancet.com/journals/lancet/article/PIIS0140-6736(17)30638-4/fulltext,Circulatory System. Pregnancy and Childbirth. Other | WORLD MATERNAL ANTIFIBRINOLYTIC TRIAL | Tranexamic acid for the treatment of postpartum haemorrhage: An international  randomised  double blind  p
PACTR201304000533711,,cervical cancer,,Urological and Genital Diseases. Other | ACCESS-A: Adequate Cervical cancer Capacity building  Education and Screening in Subsaharan-Africa | Adequate Cervical cancer Capacity building  Education and 
PACTR202411885208906,,maternal sepsis,,Obstetrics and Gynecology | Efficacy of Tranexamic acid in the Prevention of Postpartum Haemorrhage following vaginal delivery at a Primary Health Centre in Southern Nigeria | Efficacy of Tranexamic a
PACTR201803003147805,,hiv,,Infections and Infestations. Other | Effects of exercise on HIV - Associated Peripheral neuropathy | The effect of physiotherapeutic exercises on peripheral neuropathy among PLHIV on ART in Kigali - R
PACTR202203635007430,,maternal sepsis,,Circulatory System. Pregnancy and Childbirth | COMPARISON OF THE CLINICAL EFFICACY OF COLD-CHAIN AND OUTSIDE COLD-CHAIN OXYTOCIN IN DECREASING POSTPARTUM BLOOD LOSS IN WARRI  DELTA STATE  NIGERIA. | A
PACTR201809873079121,,hiv,,Infections and Infestations | An evaluation of the implementation of the CBCT Social Franchise HIV Counselling and Testing (HCT) model offered by FPD | An evaluation of the implementation of the CBCT 
PACTR201307000583416,,tuberculosis,,Infections and Infestations | TB-SMS Cameroon | Evaluation of therapeutic adherence support by SMS on the cure rate of Tuberculosis:  a protocol of a randomized control study | The objective of this s
